doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes,validation_status,validation_flags
security-combined.adoc,Security and compliance overview,"When I am responsible for cluster security, I want to understand how OpenShift addresses security and compliance across layers, so I can plan controls and assign ownership.",core,Cluster administrator,Plan,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Security and compliance overview', lines 1-3",Main job grouping key: landscape,pass,
security-combined.adoc,Understanding container security,"When I run containerized workloads, I want to secure images, builds, registries, deployment, networking, and storage, so I can reduce supply-chain and runtime risk.",core,Platform engineer,Secure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Understanding container security', lines 497-499",Main job grouping key: container_supply_chain,pass,
security-combined.adoc,Understanding compliance,"When my organization must meet regulatory or governance requirements, I want to understand compliance concepts and checking options in OpenShift, so I can choose appropriate controls.",core,Compliance officer,Plan,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Understanding compliance', lines 3078-3080",Main job grouping key: compliance_understanding,pass,
security-combined.adoc,Compliance Operator overview,"When I need automated compliance assessment, I want to install and run the Compliance Operator with profiles and remediations, so I can demonstrate and improve regulatory posture.",core,Cluster administrator,Secure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Compliance Operator overview', lines 16875-16877",Main job grouping key: compliance_operator,pass,
security-combined.adoc,File Integrity Operator Overview,"When I must detect unauthorized changes on cluster nodes, I want continuous file integrity monitoring, so I can investigate tampering and support audits.",core,Security engineer,Monitor,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'File Integrity Operator Overview', lines 30119-30121",Main job grouping key: file_integrity,pass,
security-combined.adoc,Security Profiles Operator overview,"When I need consistent workload isolation, I want to manage seccomp and SELinux profiles for pods, so I can enforce least-privilege execution.",core,Platform engineer,Secure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Security Profiles Operator overview', lines 35790-35792",Main job grouping key: security_profiles,pass,
security-combined.adoc,Replacing the default ingress certificate,"When cluster components require trusted TLS, I want to replace and manage ingress, API, and service certificates, so I can meet organizational PKI requirements.",core,Cluster administrator,Configure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'Replacing the default ingress certificate', lines 8391-8393",Main job grouping key: platform_certificates,pass,
security-combined.adoc,User-provided certificates for the API server,"When I troubleshoot TLS or plan certificate rotation, I want to understand each certificate type used by the platform, so I can manage lifecycle and trust correctly.",related,Platform engineer,Reference,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'User-provided certificates for the API server', lines 10927-10929",Main job grouping key: certificate_reference,pass,
security-combined.adoc,cert-manager Operator for Red Hat OpenShift overview,"When I need automated X.509 certificate issuance and renewal, I want to deploy and configure the cert-manager Operator, so I can reduce manual certificate operations.",core,Platform engineer,Configure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'cert-manager Operator for Red Hat OpenShift overview', lines 47148-47150",Main job grouping key: cert_manager,pass,
security-combined.adoc,NBDE Tang Server Operator overview,"When I must protect data at rest on nodes, I want network-bound disk encryption with Tang servers, so I can meet encryption requirements without storing keys on nodes.",core,Cluster administrator,Secure,main_job,,,,Minimize time to implement required security controls; Reduce likelihood of security gaps in production clusters,"security-combined.adoc -> Section 'NBDE Tang Server Operator overview', lines 43714-43716",Main job grouping key: nbde_encryption,pass,
