doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
security-auth-combined.adoc,Configure auditing and investigate security events,"When securing an OpenShift cluster, I want to configure auditing and investigate security events, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Operate,main_job,,,,Minimize the time required to configure auditing and investigate security events; Maximize confidence that configure auditing and investigate security events is done correctly,security-auth-consolidated model; 2 child records,Consolidated main job id: audit-investigate
security-auth-combined.adoc,Detect vulnerabilities and unauthorized file changes,"When securing an OpenShift cluster, I want to detect vulnerabilities and unauthorized file changes, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Operate,main_job,,,,Minimize the time required to detect vulnerabilities and unauthorized file changes; Maximize confidence that detect vulnerabilities and unauthorized file changes is done correctly,security-auth-consolidated model; 28 child records,Consolidated main job id: detect-threats
security-auth-combined.adoc,Demonstrate compliance with security profiles,"When securing an OpenShift cluster, I want to demonstrate compliance with security profiles, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to demonstrate compliance with security profiles; Maximize confidence that demonstrate compliance with security profiles is done correctly,security-auth-consolidated model; 60 child records,Consolidated main job id: compliance
security-auth-combined.adoc,Encrypt sensitive data at rest,"When securing an OpenShift cluster, I want to encrypt sensitive data at rest, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to encrypt sensitive data at rest; Maximize confidence that encrypt sensitive data at rest is done correctly,security-auth-consolidated model; 8 child records,Consolidated main job id: encrypt-at-rest
security-auth-combined.adoc,Manage certificates and TLS for cluster services,"When securing an OpenShift cluster, I want to manage certificates and tls for cluster services, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to manage certificates and tls for cluster services; Maximize confidence that manage certificates and tls for cluster services is done correctly,security-auth-consolidated model; 74 child records,Consolidated main job id: certificates-tls
security-auth-combined.adoc,Manage secrets and cloud provider credentials,"When securing an OpenShift cluster, I want to manage secrets and cloud provider credentials, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to manage secrets and cloud provider credentials; Maximize confidence that manage secrets and cloud provider credentials is done correctly,security-auth-consolidated model; 40 child records,Consolidated main job id: secrets-credentials
security-auth-combined.adoc,Secure the container software supply chain,"When securing an OpenShift cluster, I want to secure the container software supply chain, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to secure the container software supply chain; Maximize confidence that secure the container software supply chain is done correctly,security-auth-consolidated model; 8 child records,Consolidated main job id: supply-chain
security-auth-combined.adoc,Enforce what pods are allowed to run,"When securing an OpenShift cluster, I want to enforce what pods are allowed to run, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to enforce what pods are allowed to run; Maximize confidence that enforce what pods are allowed to run is done correctly,security-auth-consolidated model; 37 child records,Consolidated main job id: pod-security
security-auth-combined.adoc,Configure workload and automation identities,"When securing an OpenShift cluster, I want to configure workload and automation identities, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to configure workload and automation identities; Maximize confidence that configure workload and automation identities is done correctly,security-auth-consolidated model; 7 child records,Consolidated main job id: workload-identities
security-auth-combined.adoc,Assign and audit permissions with RBAC,"When securing an OpenShift cluster, I want to assign and audit permissions with rbac, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to assign and audit permissions with rbac; Maximize confidence that assign and audit permissions with rbac is done correctly,security-auth-consolidated model; 2 child records,Consolidated main job id: rbac-permissions
security-auth-combined.adoc,Control who can sign in to the cluster,"When securing an OpenShift cluster, I want to control who can sign in to the cluster, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Secure,main_job,,,,Minimize the time required to control who can sign in to the cluster; Maximize confidence that control who can sign in to the cluster is done correctly,security-auth-consolidated model; 24 child records,Consolidated main job id: control-sign-in
security-auth-combined.adoc,Understand OCP security layers and shared responsibility,"When securing an OpenShift cluster, I want to understand ocp security layers and shared responsibility, so I can reduce risk and meet organizational security requirements.",core,Cluster administrator,Plan,main_job,,,,Minimize the time required to understand ocp security layers and shared responsibility; Maximize confidence that understand ocp security layers and shared responsibility is done correctly,security-auth-consolidated model; 23 child records,Consolidated main job id: understand-security-layers
security-auth-combined.adoc,Security overview,"When working with Security and compliance overview, I want to security overview, so I can meet security and access requirements for the cluster.",core,Developer,Plan,user_story,Understand OCP security layers and shared responsibility,,,Minimize the time required to complete security overview; Minimize the likelihood of errors during security overview,"security-auth-combined.adoc -> Security overview, lines 408-469 [index.adoc]",Assembly: security/index.adoc. Topic: Security and compliance overview
