job_id,job_title,job_type,record_type,parent_job_id,job_statement,persona,doc,evidence
,,consumption,,,"When I am new to OpenShift or evaluating CLI options, I want to understand the available CLI tools and their purposes, so I can choose the right tool for my administration or development tasks.",Cluster administrator,cli_reference-combined.adoc,"Lines 2-456: CLI tools overview section listing oc, helm, opm, kn, tkn with descriptions of each tool's purpose"
,,core,,,"When I need to interact with an OpenShift cluster from my terminal, I want to install the OpenShift CLI on my operating system, so I can manage clusters and deploy applications from the command line.",Cluster administrator,cli_reference-combined.adoc,"Lines 978-1589: Installing the OpenShift CLI concept and all sub-procedures covering Customer Portal binary, web console binary, RPM, and Homebrew methods"
,,core,,,"When I have the OpenShift CLI installed, I want to learn how to authenticate, perform basic operations, and get help, so I can begin managing my cluster and applications from the terminal.",Cluster administrator,cli_reference-combined.adoc,"Lines 459-2125: Getting started with the OpenShift CLI assembly covering about, install, login, using, help, and logout sections"
,,core,,,"When I have access to the Red Hat Customer Portal, I want to download and install the oc binary from the portal, so I can use the latest supported version of the CLI for my operating system and architecture.",Cluster administrator,cli_reference-combined.adoc,"Lines 991-1304: Concept and procedures for installing on Linux (lines 1054-1101), Windows (lines 1159-1199), and macOS (lines 1257-1304) via Customer Portal download"
,,core,,,"When I have access to the OpenShift web console, I want to download and install the oc binary directly from the console, so I can get the CLI version that matches my cluster without needing a Customer Portal account.",Developer,cli_reference-combined.adoc,"Lines 1312-1467: Concept and procedures for installing on Linux (lines 1335-1376), Windows (lines 1384-1419), and macOS (lines 1426-1467) via web console download"
,,core,,,"When I am using a Red Hat Enterprise Linux system with an active OpenShift subscription, I want to install the oc CLI using RPM package management, so I can manage the CLI installation through my system's package manager.",Cluster administrator,cli_reference-combined.adoc,Lines 1479-1549: Procedure for installing oc via RPM with subscription-manager registration and yum install
,,core,,,"When I am using macOS with Homebrew installed, I want to install the oc CLI using brew, so I can manage the CLI installation through a familiar macOS package manager.",Developer,cli_reference-combined.adoc,Lines 1562-1589: Procedure for installing oc via Homebrew with a single brew install command
,,core,,,"When I have the oc CLI installed and need to access my cluster, I want to log in to the OpenShift CLI with my credentials, so I can authenticate and begin managing cluster resources.",Cluster administrator,cli_reference-combined.adoc,"Lines 1600-1664: Procedure for logging in via oc login command with username/password, including proxy environment variable notes and web console token copy tip"
,,related,,,"When I want to log in to the CLI without entering my token on the command line, I want to authenticate through a web browser, so I can securely log in using my identity provider without exposing credentials in the terminal.",Developer,cli_reference-combined.adoc,"Lines 1675-1737: Procedure for logging in via oc login --web, including security warning about localhost HTTP server"
,,core,,,"When I am logged in to the OpenShift CLI for the first time, I want to perform basic operations like creating projects, deploying applications, and inspecting resources, so I can verify my setup works and learn the fundamental CLI workflow.",Developer,cli_reference-combined.adoc,"Lines 1748-1993: Using the OpenShift CLI concept plus sub-procedures for creating a project (line 1764), creating an app (line 1795), viewing pods (line 1830), viewing pod logs (line 1869), viewing current project (line 1901), viewing project status (line 1932), and listing API resources (line 1970)"
